City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-11.15,73,75,6.17,CA,1712494767
1,puerto natales,-51.7236,-72.4875,6.25,61,40,7.72,CL,1712494772
2,tura,25.5198,90.2201,29.25,23,100,0.66,IN,1712494778
3,carnarvon,-24.8667,113.6333,24.45,74,0,9.51,AU,1712494641
4,isafjordur,66.0755,-23.124,-1.98,74,75,10.8,IS,1712494784
5,puerto ayora,-0.7393,-90.3518,24.19,99,84,2.01,EC,1712494789
6,ushuaia,-54.8,-68.3,5.81,56,40,5.14,AR,1712494562
7,horta,38.5333,-28.6333,17.8,88,40,9.77,PT,1712494801
8,kangding,30.0513,101.9603,6.84,99,100,0.64,CN,1712494799
9,turpan,42.9333,89.1667,20.2,17,4,2.0,CN,1712494811
10,palikir - national government center,6.9248,158.1611,27.41,83,100,4.63,FM,1712494815
11,edinburgh of the seven seas,-37.0676,-12.3116,18.82,94,100,9.84,SH,1712494821
12,invercargill,-46.4,168.35,7.31,98,38,1.37,NZ,1712494061
13,qarqaraly,49.4058,75.4742,8.97,72,100,4.68,KZ,1712494831
14,punta arenas,-53.15,-70.9167,5.06,70,20,11.83,CL,1712494840
15,grytviken,-54.2811,-36.5092,5.28,97,99,6.99,GS,1712494845
16,adamstown,-25.066,-130.1015,22.58,75,76,4.25,PN,1712494743
17,ilulissat,69.2167,-51.1,-4.99,68,75,2.57,GL,1712494854
18,freetown,8.484,-13.2299,29.62,63,89,4.08,SL,1712494858
19,kununurra,-15.7667,128.7333,24.99,83,30,0.0,AU,1712494863
20,blackmans bay,-43.0167,147.3167,13.07,94,100,0.89,AU,1712494868
21,bani mazar,28.5036,30.8004,27.4,18,0,7.68,EG,1712494866
22,stanley,54.868,-1.6985,14.84,57,40,11.83,GB,1712494878
23,port-aux-francais,-49.35,70.2167,5.55,67,100,7.77,TF,1712494882
24,luwuk,-0.9516,122.7875,24.19,92,100,1.65,ID,1712494886
25,tolanaro,-25.0319,46.9987,27.04,83,20,4.12,MG,1712494891
26,avarua,-21.2078,-159.775,24.03,100,100,1.03,CK,1712494895
27,ancud,-41.8697,-73.8203,11.35,97,100,1.38,CL,1712494827
28,yuzhno-kurilsk,44.0306,145.8556,2.43,88,100,3.53,RU,1712494902
29,west island,-12.1568,96.8225,28.99,79,40,4.12,CC,1712494906
30,albany,42.6001,-73.9662,5.05,73,63,1.79,US,1712494802
31,kavaratti,10.5669,72.642,29.65,70,83,3.38,IN,1712494914
32,saint-joseph,-21.3667,55.6167,28.21,81,28,2.26,RE,1712494918
33,keflavik,64.0049,-22.5624,2.24,60,75,14.92,IS,1712494873
34,badger,64.8,-147.5333,-1.47,82,100,1.47,US,1712494925
35,tazovsky,67.4667,78.7,-5.78,83,100,10.08,RU,1712494929
36,viedma,-40.8135,-62.9967,20.78,40,25,3.82,AR,1712494829
37,el granada,37.5027,-122.4694,9.5,88,0,2.57,US,1712494730
38,papatowai,-46.5619,169.4708,9.46,95,100,2.57,NZ,1712494939
39,ghat,24.9647,10.1728,33.54,9,0,5.94,LY,1712494943
40,port mathurin,-19.6833,63.4167,27.39,78,16,5.39,MU,1712494866
